106,-55,-0.19,-0.11,-1.21,66,-102.97,90.67,138,1
107,-62,-0.14,-0.02,-1.4,34.21,-87.65,78.9,139,1
108,-55,-0.12,0.1,-1.04,45.42,-83.5,29.27,141,1
109,-55,-0.02,0.11,-1,57.18,-94.76,6.5,142,1
110,-54,-0.07,0.05,-0.93,65.77,-98.43,-18.29,143,1
111,-51,-0.07,0.01,-0.89,66.82,-92.1,-35.67,144,1
112,-52,-0.13,-0.04,-0.83,62.59,-76.82,-46.85,145,1
113,-51,-0.16,-0.08,-0.87,48.35,-51.06,-50.27,146,1
114,-58,-0.17,-0.16,-0.89,21.97,-27.3,-39.09,147,1
115,-58,-0.28,-0.21,-1,-16.96,19.27,-22.14,148,1
116,-57,-0.26,-0.18,-1.19,-62.47,58.66,-11.63,149,1
117,-58,-0.33,-0.08,-1.17,-94.9,102.54,-4.93,150,1
118,-60,-0.32,0.01,-1.02,-115.21,119.54,10.05,151,1
119,-61,-0.14,0.09,-0.98,-112.79,106.89,16.01,152,1
120,-58,-0.02,0.06,-1.15,-91.84,87.02,40.23,153,1
121,-54,0.01,0.12,-1.38,-63.24,55.92,58.97,154,1
122,-55,-0.2,0.03,-0.92,40.41,19.5,-100.65,157,1
123,-61,-0.3,-0.05,-0.88,-53.39,22.76,-3.45,161,1
124,-63,-0.31,0.02,-1.05,-48.06,33.49,-1.94,162,1
125,-59,-0.24,-0.02,-1.23,-39.06,23.46,2.76,163,1
126,-63,-0.19,-0.02,-1.37,-33.95,7.94,3.48,164,1
127,-67,-0.19,0.05,-1.47,9.96,-31.6,2.5,166,1
128,-64,-0.11,0.02,-1.09,92.02,-68.34,82.73,168,1
129,-63,-0.03,-0.05,-1.21,95.19,-82.26,132.53,169,1
130,-55,-0.11,-0.03,-1.37,64.45,-100.87,148.74,170,1
131,-55,-0.22,0.22,-1.07,53.34,-104.97,54.68,172,1
132,-47,-0.17,-0.03,-0.8,43.11,-56.96,-43.25,177,1
133,-54,-0.24,-0.16,-0.8,-10.9,5.96,-30.1,179,1
134,-54,-0.3,-0.11,-0.93,-44.57,51.61,-30.53,180,1
135,-55,-0.23,-0.08,-1.15,-74.82,88.57,-33.07,181,1
136,-56,-0.25,-0.04,-1.28,-102.43,117.67,-29.08,182,1
137,-58,-0.24,0.03,-1.27,-121.47,125.53,-31.22,183,1
138,-55,-0.15,0.1,-1.15,-114.36,110.11,-15.37,184,1
139,-52,-0.08,0.11,-1.21,-86.82,84.31,8.69,185,1
140,-55,-0.12,0.3,-1.51,-5.21,11.25,-45.42,187,1
141,-60,-0.23,0.16,-1.18,25.11,-2.41,-105.33,188,1
142,-58,-0.17,0.01,-0.91,26.79,0.85,-141.37,189,1
143,-60,-0.07,-0.14,-0.81,17.68,0.43,-125.71,190,1
144,-62,-0.15,-0.27,-0.8,-9.89,7.25,-76.73,191,1
145,-67,-0.22,-0.25,-0.85,-52.21,23.53,-39.19,192,1
146,-80,-0.26,-0.1,-0.89,-76.56,36.71,-18.22,193,1
147,-70,-0.35,-0.04,-1.04,-74.37,55.06,2.63,194,1
148,-67,-0.3,-0.01,-1.22,-70.31,51.69,18.1,195,1
149,-64,-0.17,0.07,-1.58,-54.5,34.95,27.53,196,1
150,-65,-0.08,0.15,-1.71,-20.79,-19.13,21.14,197,1
151,-62,-0.18,0.23,-1.46,33.09,-56.74,13.08,198,1
152,-61,-0.11,0.17,-1.13,90.31,-80.38,34.98,199,1
153,-61,-0.09,0.06,-1.05,115.02,-93.38,67.01,200,1
154,-58,-0.06,-0.07,-1.19,102.13,-111.92,89.39,201,1
155,-59,-0.16,-0.06,-1.31,65.48,-109.41,90.23,202,1
156,-59,-0.16,0.09,-1.21,55.53,-102.95,58.4,203,1
157,-56,-0.16,0.1,-1.02,63.83,-93.95,29.03,204,1
158,-55,-0.08,0.01,-0.93,63.85,-89.94,18.95,205,1
159,-52,-0.11,0.03,-0.92,54.68,-86.69,-5.23,206,1
160,-51,-0.13,0.03,-0.85,58.72,-64.24,-49.29,208,1
161,-50,-0.16,-0.04,-0.78,57.35,-47.11,-35.36,209,1
162,-53,-0.21,-0.12,-0.84,31.81,-19.36,-33.39,210,1
163,-59,-0.35,-0.14,-1.2,-93.56,85.08,-8.2,213,1
164,-62,-0.27,-0.02,-1.26,-118.02,118.73,5.78,214,1
165,-60,-0.19,0.05,-1.09,-120.23,110.72,32.3,215,1
166,-56,-0.05,0.26,-1.28,-67.96,50.54,20.79,217,1
167,-55,-0.12,0.37,-1.46,-15.47,8.22,-41.47,218,1
168,-55,-0.27,0.25,-1.3,28.42,-6.73,-128.18,219,1
169,-57,-0.04,-0.23,-0.8,25.98,4.59,-123.21,221,1
170,-60,-0.17,-0.28,-0.8,-8.25,17.66,-79.15,222,1
171,-60,-0.2,-0.24,-0.9,-41.99,30.53,-35.79,223,1
172,-68,-0.34,-0.12,-0.93,-70.45,50.55,39.47,225,1
173,-70,-0.34,-0.02,-1.18,-73.84,49.66,48.89,226,1
174,-62,-0.28,0.1,-1.37,-58.34,26.2,40.86,227,1
175,-67,-0.13,0.11,-1.63,-30.02,-2.74,30.14,228,1
176,-58,-0.2,0.17,-1.63,3.22,-42.02,4.37,229,1
177,-64,-0.12,0.16,-1.23,54.59,-68.15,12.76,230,1
178,-58,-0.12,0.07,-0.94,94.02,-79.69,47.79,231,1
179,-58,-0.08,-0.03,-0.99,101.18,-88.75,76.95,232,1
180,-53,-0.11,-0.12,-1.15,73.57,-97.75,92.38,233,1
181,-57,-0.19,-0.03,-1.31,40.27,-88.95,80.64,234,1
182,-55,-0.05,0.01,-0.97,60.83,-69.95,12.88,237,1
183,-56,-0.06,0,-0.95,60.08,-73.59,8.58,238,1
184,-55,-0.13,0.03,-0.91,67.27,-67.38,5.18,239,1
185,-52,-0.17,0.01,-0.86,62.82,-56.73,-14.63,240,1
186,-53,-0.19,-0.03,-0.84,55.8,-35.28,-18.34,241,1
187,-53,-0.24,-0.14,-0.86,33.32,-8.6,-9.69,242,1
188,-56,-0.26,-0.19,-0.9,-6.24,18.18,18.55,243,1
189,-54,-0.37,-0.01,-1.36,-81.72,72.27,24.34,245,1
190,-61,-0.46,0.11,-1.17,-107.07,93.76,14.86,246,1
191,-58,-0.36,0.21,-0.9,-112.09,83.45,3.56,247,1
192,-57,-0.3,0.26,-0.95,-95.99,60.03,-15.61,248,1
193,-58,-0.11,0.18,-1.3,-65.82,38.18,-28.8,249,1
194,-60,-0.14,0.13,-1.45,-34.44,4.19,-49.49,250,1
195,-60,-0.15,0.1,-1.31,-2.73,0.87,-71.45,251,1
196,-65,-0.16,-0.21,-0.89,14.44,24.36,-51.33,253,1
197,-63,-0.19,-0.26,-0.9,-41.11,31,83.46,255,1
198,-60,-0.24,-0.08,-0.93,-50.1,29.09,120.15,256,1
